point,geometry,type,wtd_m,links,length_m,elevation_m
GW_Jafer_A7B2,POINT (212832.5389190134 971446.9879753147),Groundwater supply,49.197383880615234,Transmission Link from GW_Jafer_A7B2 to MAAN_Industry,10628.189820188747,1174.0
GW_Jafer_A7B2,POINT (212832.5389190134 971446.9879753147),Groundwater supply,49.197383880615234,Transmission Link from GW_Jafer_A7B2 to MA_Agriculture,12603.561158816134,1174.0
GW_Jafer_A7B2,POINT (212832.5389190134 971446.9879753147),Groundwater supply,49.197383880615234,Transmission Link from GW_Jafer_A7B2 to MA_AshShobak,21708.76194624818,1174.0
GW_Jafer_A7B2,POINT (212832.5389190134 971446.9879753147),Groundwater supply,49.197383880615234,Transmission Link from GW_Jafer_A7B2 to MA_AlHusayniyya,26414.912469028906,1174.0
GW_Jafer_B4,POINT (272399.6851468908 967074.1921235012),Groundwater supply,0.21580082178115845,Transmission Link from GW_Jafer_B4 to MA_Al Jafer,13894.234432462645,847.0
GW_JordanValley_Alluvium,POINT (202870.0795549494 1157430.090630134),Groundwater supply,12.552231788635254,Transmission Link from GW_JordanValley_Alluvium to PS_ShJanoub,11392.815345163184,-302.0
GW_JordanValley_Alluvium,POINT (202870.0795549494 1157430.090630134),Groundwater supply,12.552231788635254,Transmission Link from GW_JordanValley_Alluvium to BQ_AgriJV,6203.913203435487,-302.0
GW_Sarhan_B4B5,POINT (429175.3321474627 1194775.496280886),Groundwater supply,10.590156555175781,Transmission Link from GW_Sarhan_B4B5 to MF_Rweyshid,23085.95958421361,706.0
GW_SideWadis_A1A6,POINT (213029.8629125977 1165277.432593354),Groundwater supply,6.458902359008789,Transmission Link from GW_SideWadis_A1A6 to PS_ShJanoub,21439.517016229474,316.0
GW_SideWadis_A1A6,POINT (213029.8629125977 1165277.432593354),Groundwater supply,6.458902359008789,Transmission Link from GW_SideWadis_A1A6 to PS_Ain Al Azraq,10607.379526569533,316.0
GW_SideWadis_A1A6,POINT (213029.8629125977 1165277.432593354),Groundwater supply,6.458902359008789,Transmission Link from GW_SideWadis_A1A6 to PS_Salt 2,6480.515473572065,316.0
GW_SideWadis_A1A6,POINT (213029.8629125977 1165277.432593354),Groundwater supply,6.458902359008789,Transmission Link from GW_SideWadis_A1A6 to PS_Salt,5103.751953304126,316.0
GW_SideWadis_A1A6,POINT (213029.8629125977 1165277.432593354),Groundwater supply,6.458902359008789,Transmission Link from GW_SideWadis_A1A6 to BQ_AgriHL,10367.515347716355,316.0
GW_SideWadis_A1A6,POINT (213029.8629125977 1165277.432593354),Groundwater supply,6.458902359008789,Transmission Link from GW_SideWadis_A1A6 to BALQA_Industry,5196.427949261627,316.0
GW_SideWadis_A1A6,POINT (213029.8629125977 1165277.432593354),Groundwater supply,6.458902359008789,Transmission Link from GW_SideWadis_A1A6 to PS_DeirAllaDistrict,9372.571674025457,316.0
