lon,lat,name,type
36.07585,32.04084,PL_ToKhaw,pipeline
36.07116,32.038900000000005,PL_ToKhaw,pipeline
,,PL_ToKhaw,pipeline
36.07116,32.038900000000005,PL_ToKhaw,pipeline
36.06898,32.03836,PL_ToKhaw,pipeline
36.06284,32.038129999999995,PL_ToKhaw,pipeline
,,PL_ToKhaw,pipeline
36.07116,32.038900000000005,PL_ToKhaw,pipeline
36.06898,32.03836,PL_ToKhaw,pipeline
36.06284,32.038129999999995,PL_ToKhaw,pipeline
,,PL_ToKhaw,pipeline
36.06284,32.038129999999995,PL_ToKhaw,pipeline
36.05978,32.03743000000001,PL_ToKhaw,pipeline
36.05791,32.034180000000006,PL_ToKhaw,pipeline
,,PL_ToKhaw,pipeline
36.06284,32.038129999999995,PL_ToKhaw,pipeline
36.05978,32.03743000000001,PL_ToKhaw,pipeline
36.05791,32.034180000000006,PL_ToKhaw,pipeline
,,PL_ToKhaw,pipeline
36.05791,32.034180000000006,PL_ToKhaw,pipeline
36.0552,32.03235,PL_ToKhaw,pipeline
36.05414,32.03183,PL_ToKhaw,pipeline
36.05256,32.03065,PL_ToKhaw,pipeline
36.04824,32.02713,PL_ToKhaw,pipeline
,,PL_ToKhaw,pipeline
36.45314,32.11381000000001,PS_Halabat,pipeline
36.45779,32.10404,PS_Halabat,pipeline
,,PS_Halabat,pipeline
36.45779,32.10404,PS_Halabat,pipeline
36.46288,32.09313999999999,PS_Halabat,pipeline
,,PS_Halabat,pipeline
36.45779,32.10404,PS_Halabat,pipeline
36.46288,32.09313999999999,PS_Halabat,pipeline
,,PS_Halabat,pipeline
36.46288,32.09313999999999,PS_Halabat,pipeline
36.44351,32.08354,PS_Halabat,pipeline
36.40923,32.07945,PS_Halabat,pipeline
,,PS_Halabat,pipeline
36.46288,32.09313999999999,PS_Halabat,pipeline
36.44351,32.08354,PS_Halabat,pipeline
36.40923,32.07945,PS_Halabat,pipeline
,,PS_Halabat,pipeline
36.40923,32.07945,PS_Halabat,pipeline
36.39278,32.0572,PS_Halabat,pipeline
36.37522,32.032979999999995,PS_Halabat,pipeline
,,PS_Halabat,pipeline
36.40923,32.07945,PS_Halabat,pipeline
36.39278,32.0572,PS_Halabat,pipeline
36.37522,32.032979999999995,PS_Halabat,pipeline
,,PS_Halabat,pipeline
36.06969,32.14205,PS_QunayyaWell,pipeline
36.08249,32.14166,PS_QunayyaWell,pipeline
,,PS_QunayyaWell,pipeline
36.08249,32.14166,PS_QunayyaWell,pipeline
36.09383,32.14941,PS_QunayyaWell,pipeline
,,PS_QunayyaWell,pipeline
36.08249,32.14166,PS_QunayyaWell,pipeline
36.09383,32.14941,PS_QunayyaWell,pipeline
,,PS_QunayyaWell,pipeline
36.09383,32.14941,PS_QunayyaWell,pipeline
36.10516,32.16014,PS_QunayyaWell,pipeline
36.11417,32.16961,PS_QunayyaWell,pipeline
36.1242,32.17829,PS_QunayyaWell,pipeline
,,PS_QunayyaWell,pipeline
36.09383,32.14941,PS_QunayyaWell,pipeline
36.10516,32.16014,PS_QunayyaWell,pipeline
36.11417,32.16961,PS_QunayyaWell,pipeline
36.1242,32.17829,PS_QunayyaWell,pipeline
,,PS_QunayyaWell,pipeline
36.1242,32.17829,PS_QunayyaWell,pipeline
36.13088,32.18370000000001,PS_QunayyaWell,pipeline
,,PS_QunayyaWell,pipeline
36.1242,32.17829,PS_QunayyaWell,pipeline
36.13088,32.18370000000001,PS_QunayyaWell,pipeline
,,PS_QunayyaWell,pipeline
36.13088,32.18370000000001,PS_QunayyaWell,pipeline
36.13566,32.18755,PS_QunayyaWell,pipeline
,,PS_QunayyaWell,pipeline
36.13088,32.18370000000001,PS_QunayyaWell,pipeline
36.13566,32.18755,PS_QunayyaWell,pipeline
,,PS_QunayyaWell,pipeline
36.13566,32.18755,PS_QunayyaWell,pipeline
36.13948,32.19035999999999,PS_QunayyaWell,pipeline
,,PS_QunayyaWell,pipeline
36.11926,32.02031,PS_Awayan,pipeline
36.09989,32.02566000000001,PS_Awayan,pipeline
,,PS_Awayan,pipeline
36.09989,32.02566000000001,PS_Awayan,pipeline
36.0898,32.02889999999999,PS_Awayan,pipeline
,,PS_Awayan,pipeline
36.09989,32.02566000000001,PS_Awayan,pipeline
36.0898,32.02889999999999,PS_Awayan,pipeline
,,PS_Awayan,pipeline
36.0898,32.02889999999999,PS_Awayan,pipeline
36.07876,32.031000000000006,PS_Awayan,pipeline
,,PS_Awayan,pipeline
36.11388,32.13313999999999,PS_Zarqa,pipeline
36.10338,32.13104,PS_Zarqa,pipeline
36.09376,32.12664000000001,PS_Zarqa,pipeline
,,PS_Zarqa,pipeline
36.09376,32.12664000000001,PS_Zarqa,pipeline
36.0768,32.1232,PS_Zarqa,pipeline
,,PS_Zarqa,pipeline
36.09376,32.12664000000001,PS_Zarqa,pipeline
36.0768,32.1232,PS_Zarqa,pipeline
,,PS_Zarqa,pipeline
36.0768,32.1232,PS_Zarqa,pipeline
36.0557,32.13358,PS_Zarqa,pipeline
36.05073,32.13317,PS_Zarqa,pipeline
,,PS_Zarqa,pipeline
36.04175,32.04258999999999,PS_AlBasateen,pipeline
36.03717,32.04462,PS_AlBasateen,pipeline
36.03349,32.04452,PS_AlBasateen,pipeline
,,PS_AlBasateen,pipeline
36.03349,32.04452,PS_AlBasateen,pipeline
36.03089,32.045579999999994,PS_AlBasateen,pipeline
36.01562,32.04484,PS_AlBasateen,pipeline
,,PS_AlBasateen,pipeline
36.03349,32.04452,PS_AlBasateen,pipeline
36.03089,32.045579999999994,PS_AlBasateen,pipeline
36.01562,32.04484,PS_AlBasateen,pipeline
,,PS_AlBasateen,pipeline
36.01562,32.04484,PS_AlBasateen,pipeline
36.00401,32.0327,PS_AlBasateen,pipeline
,,PS_AlBasateen,pipeline
36.01562,32.04484,PS_AlBasateen,pipeline
36.00401,32.0327,PS_AlBasateen,pipeline
,,PS_AlBasateen,pipeline
36.00401,32.0327,PS_AlBasateen,pipeline
35.99506,32.02886999999999,PS_AlBasateen,pipeline
,,PS_AlBasateen,pipeline
35.95555,32.09821,PS_UmRummaneh,pipeline
35.94856,32.09577,PS_UmRummaneh,pipeline
,,PS_UmRummaneh,pipeline
35.94856,32.09577,PS_UmRummaneh,pipeline
35.9316,32.09917,PS_UmRummaneh,pipeline
