point,geometry,type,links,length_m,elevation_m
TAFILEH_Industry,POINT (249158.7117327147 1026062.945003802),Demand site,Transmission Link from GW_DeadSea_A7B2 to TAFILEH_Industry,58542.37691305508,851.0
TA_Agriculture,POINT (201844.4363335864 1037851.306210872),Demand site,Transmission Link from WWTP_Tafileh to TA_Agriculture,7237.838606570115,724.0
TA_Agriculture,POINT (201844.4363335864 1037851.306210872),Demand site,Transmission Link from GW_DeadSea_A7B2 to TA_Agriculture,59253.92851620511,724.0
TA_Al Hasa,POINT (222381.2122549537 1018518.427351811),Demand site,Transmission Link from PS_Hasa2TA_Hasa to TA_Al Hasa,7285.373151224284,1226.0
TA_Busayrah,POINT (205934.105190816 1012306.659968968),Demand site,Transmission Link from PS_Hasa2TA_Bus to TA_Busayrah,22073.38792018908,1420.0
TA_Qasabat At Tafilah,POINT (210230.3246203054 1031095.8005162),Demand site,Transmission Link from PS_Hasa2TA_Qasabat to TA_Qasabat At Tafilah,13927.875784249276,1124.0
TA_Qasabat At Tafilah,POINT (210230.3246203054 1031095.8005162),Demand site,Transmission Link from Tannour dam to TA_Qasabat At Tafilah,13126.795811144702,1124.0
TA_Qasabat At Tafilah,POINT (210230.3246203054 1031095.8005162),Demand site,Transmission Link from GW_DeadSea_A7B2 to TA_Qasabat At Tafilah,60157.153134020096,1124.0
ZARQA_Ind_Nuclear,POINT (258262.7869502323 1169978.628404859),Demand site,Transmission Link from WWTP_Samra to ZARQA_Ind_Nuclear,7705.198824294368,551.0
ZARQA_Ind_Nuclear,POINT (258262.7869502323 1169978.628404859),Demand site,Transmission Link from GW_Sirhan_Kurnub to ZARQA_Ind_Nuclear,3344.0600315992033,551.0
ZARQA_Industry,POINT (257519.461261779 1166547.419038907),Demand site,Transmission Link from GW_AmmanZarqa_A7B2 to ZARQA_Industry,17295.70175673134,577.0
ZA_Agriculture,POINT (296062.6741706465 1163405.320606642),Demand site,Transmission Link from GW_AmmanZarqa_A7B2 to ZA_Agriculture,35370.39867633866,590.0
ZA_Agriculture,POINT (296062.6741706465 1163405.320606642),Demand site,Transmission Link from GW_Azraq_B4B5 to ZA_Agriculture,23444.56521347391,590.0
ZA_Agriculture,POINT (296062.6741706465 1163405.320606642),Demand site,Transmission Link from GW_Azraq_Basalt to ZA_Agriculture,18840.66633623001,590.0
ZA_Azraq,POINT (319356.75141601 1136706.469896089),Demand site,Transmission Link from PL_ToKhaw2ZA_Azraq to ZA_Azraq,6890.018732422876,509.0
ZA_Azraq Wetland,POINT (335208.1040475769 1140187.833229734),Demand site,Transmission Link from PL_ToKhaw2AzraqWL to ZA_Azraq Wetland,16735.645772104042,522.0
ZA_Bereyn,POINT (239463.3307293679 1172536.743263992),Demand site,Transmission Link from PS_UmRummaneh2ZA_Bereyn to ZA_Bereyn,5050.511384141157,640.0
